index_code,industry_name,level
801020.SI,采掘,L1
801030.SI,化工,L1
801040.SI,钢铁,L1
801050.SI,有色金属,L1
801710.SI,建筑材料,L1
801720.SI,建筑装饰,L1
801730.SI,电气设备,L1
801890.SI,机械设备,L1
801740.SI,国防军工,L1
801880.SI,汽车,L1
801110.SI,家用电器,L1
801130.SI,纺织服装,L1
801140.SI,轻工制造,L1
801200.SI,商业贸易,L1
801010.SI,农林牧渔,L1
801120.SI,食品饮料,L1
801210.SI,休闲服务,L1
801150.SI,医药生物,L1
801160.SI,公用事业,L1
801170.SI,交通运输,L1
801180.SI,房地产,L1
801080.SI,电子,L1
801750.SI,计算机,L1
801760.SI,传媒,L1
801770.SI,通信,L1
801780.SI,银行,L1
801790.SI,非银金融,L1
801230.SI,综合,L1
